City,State,crime_score,hosp_score,Total Score,QOL Score
Atlanta,GA,2.4,4.3,6.699999999999999,4.5
Austin,TX,8.1,3.2,11.3,8.2
Boston,MA,5.6,2.2,7.8,5.4
Chicago,IL,2.3,3.7,6.0,4.0
Columbus,OH,7.2,1.4,8.6,6.0
Dallas,TX,5.1,3.2,8.3,5.8
Denver,CO,6.0,2.0,8.0,5.6
Indianapolis,IN,0.0,1.1,1.1,0.0
Los Angeles,CA,5.5,4.5,10.0,7.2
Miami,FL,4.1,4.1,8.2,5.7
Takoma Park,MD,8.7,4.8,13.5,10.0
Nashville,TN,2.3,4.2,6.5,4.4
Newark,NJ,3.7,4.2,7.9,5.5
New York,NY,6.7,5.2,11.9,8.7
Alexandria,VA,10.0,1.8,11.8,8.6
Philadelphia,PA,3.2,1.8,5.0,3.1
Pittsburgh,PA,5.0,1.8,6.8,4.6
Charlotte-Mecklenburg,NC,5.4,2.1,7.5,5.2
Washington,DC,2.0,6.8,8.8,6.2
