,2014-2015b,2014-2015m,2013-2014b,2013-2014m,2012-2013b,2012-2013m,Total,State Abb
Alabama,10644,4357,10273,4104,10085,3684,43147.00,AL
Alaska,576,181,602,161,554,360,2434.00,AK
Arizona,18070,10572,19821,11245,24509,9505,93722.00,AZ
Arkansas,3960,1076,3779,997,3549,2697,16058.00,AR
California,54414,26275,53441,25331,46264,20686,226411.00,CA
Colorado,10704,6655,10410,6903,10270,4240,49182.00,CO
Connecticut,5296,3013,4707,2923,4613,3182,23734.00,CT
Delaware,2096,1282,2006,1141,1899,916,9340.00,DE
District of Columbia,2224,3404,2162,3475,2095,1764,15124.00,DC
Florida,30801,13366,29700,14038,29308,7118,124331.00,FL
Georgia,15200,6206,14507,6394,14069,5392,61768.00,GA
Hawaii,1928,611,1972,602,1694,586,7393.00,HI
Idaho,2618,480,2592,477,2355,803,9325.00,ID
Illinois,20299,16802,20420,16504,21143,12415,107583.00,IL
Indiana,15544,6015,14739,5920,14660,4476,61354.00,IN
Iowa,8174,2775,8264,2860,12833,3989,38895.00,IA
Kansas,6807,2284,6593,2248,6394,2385,26711.00,KS
Kentucky,5437,1977,5074,1904,5249,3946,23587.00,KY
Louisiana,6272,2036,6336,2057,6238,1975,24914.00,LA
Maine,1492,328,1381,334,1333,719,5587.00,ME
Maryland,10552,8198,9724,8430,9262,5935,52101.00,MD
Massachusetts,16642,13308,16018,12977,15201,10798,84944.00,MA
Michigan,18209,8038,17763,8130,17837,6824,76801.00,MI
Minnesota,9882,4939,9774,4950,9951,7113,46609.00,MN
Mississippi,3695,1259,3547,1173,3488,1907,15069.00,MS
Missouri,12573,9484,12259,8626,12600,5334,60876.00,MO
Montana,1694,196,1534,183,1476,465,5548.00,MT
Nebraska,4498,1508,4762,1386,4466,1636,18256.00,NE
Nevada,2878,660,2830,647,2693,870,10578.00,NV
New Hampshire,3416,3047,2830,2265,2786,1241,15585.00,NH
New Jersey,11363,5837,10475,5585,10307,5207,48774.00,NJ
New Mexico,2368,930,2485,997,2338,1195,10313.00,NM
New York,35487,22173,34200,20695,33506,22979,169040.00,NY
North Carolina,13190,6537,13014,6266,12736,5455,57198.00,NC
North Dakota,1839,449,1784,512,1831,499,6914.00,ND
Ohio,19579,7889,18575,7353,18225,6877,78498.00,OH
Oklahoma,6319,2514,6191,2413,5792,1906,25135.00,OK
Oregon,5230,1654,5200,1677,4893,3190,21844.00,OR
Pennsylvania,27001,12906,26090,12768,25371,12884,117020.00,PA
Rhode Island,3679,1052,3571,1017,3560,588,13467.00,RI
South Carolina,7465,1957,7099,1887,7109,2110,27627.00,SC
South Dakota,1282,448,1373,381,1372,544,5400.00,SD
Tennessee,8595,3322,8228,3531,8294,3805,35775.00,TN
Texas,35184,19951,33475,18109,31751,14632,153102.00,TX
Utah,9610,4361,8727,4242,7952,2803,37695.00,UT
Vermont,1252,406,1176,386,1291,632,5143.00,VT
Virginia,16277,7300,15926,7239,15647,7220,69609.00,VA
Washington,9011,2911,8323,2772,7972,2823,33812.00,WA
West Virginia,4297,1794,3891,1643,3537,1323,16485.00,WV
Wisconsin,10715,3305,10546,3207,10295,2944,41012.00,WI
Wyoming,488,103,463,118,479,145,1796.00,WY
